Year,Units,display,criminal offences,Bundesland,GeoCode,Value
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8459
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8543
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8603
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,8225
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,7677
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,7160
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,Nordrhein-Westfalen,6847
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6087
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6242
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6331
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6515
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6667
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6545
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6651
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6711
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6509
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6944
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,7102
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,7417
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,7345
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,7375
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,7130
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,7274
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,7044
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6989
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6878
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6703
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6702
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6623
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6818
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6775
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6191
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,6001
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,Rheinland-Pfalz,5913
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,6278
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,5852
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,5983
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,6316
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,6273
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,6055
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,5824
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,6043
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,5720
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,6866
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7075
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7384
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7384
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7629
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7163
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7639
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7335
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7134
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,6914
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7303
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7296
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7642
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7886
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7732
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7110
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7129
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,Saarland,7543
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7653
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,8402
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,8832
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,8619
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,8087
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,8157
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,8254
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7883
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,8030
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7762
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,8211
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7871
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7510
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7312
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7367
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7130
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,6787
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7107
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7228
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7706
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7716
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,8086
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7764
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7950
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,7917
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,6831
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,Sachsen,6665
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,10815
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,10868
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,11617
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,11193
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,10847
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,10623
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,9950
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,9387
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,9091
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,9234
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,9075
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,9154
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8762
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8838
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8987
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8683
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8550
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8153
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8152
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8312
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8581
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8665
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8893
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8749
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,8342
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,7900
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,Sachsen-Anhalt,7850
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,10172
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,9732
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,10232
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,9264
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,9056
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,9137
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,8641
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,8922
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,8870
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,9225
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,9423
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,9173
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,8701
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,8637
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,8647
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,8562
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,8663
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,7913
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,7846
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,7563
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,7125
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,7184
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,7157
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,7225
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,6557
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,6467
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,Schleswig-Holstein,6333
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6332
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6502
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,7448
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,7448
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6960
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,7037
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6585
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6414
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6665
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6952
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6987
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6999
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6548
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6512
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6454
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6323
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6213
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6240
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6239
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6421
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6557
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6574
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6502
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6875
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6637
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6655
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,Thüringen,6033
1993,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,109
1994,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,109
1995,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,118
1996,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,124
1997,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,130
1998,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,135
1999,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,141
2000,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,144
2001,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,148
2002,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,156
2003,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,163
2004,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,171
2005,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,181
2006,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,186
2007,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,191
2008,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,187
2009,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,185
2010,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,178
2011,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,173
2012,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,169
2013,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,159
2014,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,156
2015,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,157
2016,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,170
2017,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,166
2018,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,165
2019,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,160
1993,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,654
1994,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,724
1995,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,767
1996,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,797
1997,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,823
1998,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,866
1999,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,881
2000,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,947
2001,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,974
2002,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,966
2003,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1074
2004,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1156
2005,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1167
2006,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1174
2007,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1126
2008,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1097
2009,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1186
2010,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1205
2011,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1165
2012,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1193
2013,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1165
2014,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1200
2015,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1190
2016,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1094
2017,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1103
2018,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1016
2019,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1003
1993,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,281
1994,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,260
1995,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,260
1996,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,241
1997,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,223
1998,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,205
1999,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,183
2000,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,172
2001,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,164
2002,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,159
2003,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,151
2004,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,152
2005,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,135
2006,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,131
2007,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,135
2008,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,134
2009,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,141
2010,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,151
2011,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,165
2012,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,179
2013,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,186
2014,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,188
2015,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,206
2016,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,184
2017,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,141
2018,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,118
2019,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,105
