Year,Units,display,title,sex,Bundesland,GeoCode,Value
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,53.1
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,52.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,55.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,54.4
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,55.4
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,58.5
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,60.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,60.0
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,58.4
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,62.5
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hh,Hamburg,60.1
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,47.5
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,49.0
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,53.8
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,53.0
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,54.0
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,53.8
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,57.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,57.6
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,60.1
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,61.4
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,62.5
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,62.1
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,63.0
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,64.9
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,hh,Hamburg,61.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,44.1
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,48.3
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,45.2
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,47.1
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,52.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,51.3
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,53.6
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,51.1
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,50.7
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,55.4
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,58.5
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,58.0
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,53.7
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,60.0
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,hh,Hamburg,59.1
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,40.7
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,40.2
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,40.9
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,40.3
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,43.1
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,45.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,46.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,47.2
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,47.6
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,46.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,49.4
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,50.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,54.1
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,52.4
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,he,Hessen,52.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,38.7
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,38.8
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,39.8
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,40.6
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,44.1
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,46.3
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,46.7
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,48.0
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,48.9
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,47.9
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,52.1
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,53.0
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,58.5
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,57.0
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,he,Hessen,57.4
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,42.6
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,41.6
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,41.9
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,39.9
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,42.0
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,44.6
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,45.5
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,46.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,46.1
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,44.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,46.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,47.8
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,49.6
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,48.0
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,he,Hessen,48.3
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,26.3
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,31.1
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,30.5
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,32.3
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,32.3
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,33.2
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,32.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,30.8
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,33.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,35.4
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,34.8
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,32.7
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,32.7
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,37.9
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,mv,Mecklenburg-Vorpommern,38.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,27.0
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,37.3
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,37.2
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,39.4
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,37.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,36.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,35.3
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,38.5
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,42.1
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,43.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,44.1
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,39.2
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,39.7
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,44.4
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,mv,Mecklenburg-Vorpommern,41.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,25.8
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,26.1
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,25.0
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,26.7
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,27.7
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,30.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,29.3
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,23.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,25.4
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,28.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,26.9
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,27.0
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,26.1
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,32.4
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,mv,Mecklenburg-Vorpommern,36.4
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,32.1
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,31.7
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,33.0
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,34.0
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,35.6
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,36.2
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,37.5
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,38.1
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,37.9
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,40.1
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,43.2
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,41.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,42.6
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,44.0
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,ni,Niedersachsen,44.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,29.5
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,29.9
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,30.9
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,33.1
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,36.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,37.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,39.6
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,40.5
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,38.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,42.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,46.3
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,44.5
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,45.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,48.5
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,ni,Niedersachsen,49.0
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,34.6
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,33.5
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,35.1
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,34.9
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,34.9
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,34.9
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,35.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,35.7
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,37.0
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,37.9
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,40.1
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,38.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,39.5
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,39.8
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,ni,Niedersachsen,40.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,37.0
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,37.8
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,38.7
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,40.9
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,41.7
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,41.3
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,42.0
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,44.4
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,45.0
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,47.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,48.7
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,50.3
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,51.0
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,50.6
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,nw,Nordrhein-Westfalen,50.9
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,36.4
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,38.0
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,38.4
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,41.5
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,42.6
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,42.1
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,43.8
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,46.8
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,47.4
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,50.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,52.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,54.2
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,54.6
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,55.1
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,nw,Nordrhein-Westfalen,55.3
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,37.5
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,37.7
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,39.0
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,40.3
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,40.8
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,40.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,40.3
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,42.0
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,42.6
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,44.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,44.8
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,46.3
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,47.6
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,46.1
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,nw,Nordrhein-Westfalen,46.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,30.4
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,31.9
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,32.9
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,35.3
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,36.7
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,38.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,40.0
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,42.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,41.9
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,43.7
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,42.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,44.2
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,44.1
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,44.6
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,rp,Rheinland-Pfalz,48.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,26.6
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,29.3
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,31.8
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,35.1
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,37.0
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,37.0
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,40.9
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,42.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,42.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,45.6
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,44.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,46.6
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,47.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,46.7
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,rp,Rheinland-Pfalz,51.3
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,34.6
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,34.7
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,34.0
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,35.5
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,36.3
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,40.1
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,39.0
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,42.2
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,41.7
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,41.6
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,40.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,41.9
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,40.4
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,42.5
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,rp,Rheinland-Pfalz,45.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,32.7
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,35.0
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,32.4
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,36.2
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,37.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,32.9
