Year,Units,title,sex,Bundesland,GeoCode,Value
2000,percentage (%),foreign school graduates,,hh,20000000000.0,79.5
2001,percentage (%),foreign school graduates,,hh,20000000000.0,80.3
2002,percentage (%),foreign school graduates,,hh,20000000000.0,82.3
2003,percentage (%),foreign school graduates,,hh,20000000000.0,81.7
2004,percentage (%),foreign school graduates,,hh,20000000000.0,80.1
2005,percentage (%),foreign school graduates,,hh,20000000000.0,80.1
2006,percentage (%),foreign school graduates,,hh,20000000000.0,79.6
2007,percentage (%),foreign school graduates,,hh,20000000000.0,81.6
2008,percentage (%),foreign school graduates,,hh,20000000000.0,84.7
2009,percentage (%),foreign school graduates,,hh,20000000000.0,85.1
2010,percentage (%),foreign school graduates,,hh,20000000000.0,87.4
2011,percentage (%),foreign school graduates,,hh,20000000000.0,87.6
2012,percentage (%),foreign school graduates,,hh,20000000000.0,89.5
2013,percentage (%),foreign school graduates,,hh,20000000000.0,90.5
2014,percentage (%),foreign school graduates,,hh,20000000000.0,90.0
2015,percentage (%),foreign school graduates,,hh,20000000000.0,89.6
2016,percentage (%),foreign school graduates,,hh,20000000000.0,86.5
2017,percentage (%),foreign school graduates,,hh,20000000000.0,87.6
2018,percentage (%),foreign school graduates,,hh,20000000000.0,84.9
2019,percentage (%),foreign school graduates,,hh,20000000000.0,86.7
1996,percentage (%),foreign school graduates,female,hh,20000000000.0,83.8
1997,percentage (%),foreign school graduates,female,hh,20000000000.0,86.0
1998,percentage (%),foreign school graduates,female,hh,20000000000.0,85.1
1999,percentage (%),foreign school graduates,female,hh,20000000000.0,84.8
2000,percentage (%),foreign school graduates,female,hh,20000000000.0,81.9
2001,percentage (%),foreign school graduates,female,hh,20000000000.0,84.5
2002,percentage (%),foreign school graduates,female,hh,20000000000.0,85.5
2003,percentage (%),foreign school graduates,female,hh,20000000000.0,85.8
2004,percentage (%),foreign school graduates,female,hh,20000000000.0,83.8
2005,percentage (%),foreign school graduates,female,hh,20000000000.0,83.8
2006,percentage (%),foreign school graduates,female,hh,20000000000.0,81.5
2007,percentage (%),foreign school graduates,female,hh,20000000000.0,84.2
2008,percentage (%),foreign school graduates,female,hh,20000000000.0,87.3
2009,percentage (%),foreign school graduates,female,hh,20000000000.0,87.5
2010,percentage (%),foreign school graduates,female,hh,20000000000.0,90.0
2011,percentage (%),foreign school graduates,female,hh,20000000000.0,89.0
2012,percentage (%),foreign school graduates,female,hh,20000000000.0,91.6
2013,percentage (%),foreign school graduates,female,hh,20000000000.0,91.6
2014,percentage (%),foreign school graduates,female,hh,20000000000.0,92.1
2015,percentage (%),foreign school graduates,female,hh,20000000000.0,91.9
2016,percentage (%),foreign school graduates,female,hh,20000000000.0,88.3
2017,percentage (%),foreign school graduates,female,hh,20000000000.0,89.0
2018,percentage (%),foreign school graduates,female,hh,20000000000.0,87.3
2019,percentage (%),foreign school graduates,female,hh,20000000000.0,89.2
1996,percentage (%),foreign school graduates,male,hh,20000000000.0,79.2
1997,percentage (%),foreign school graduates,male,hh,20000000000.0,79.8
1998,percentage (%),foreign school graduates,male,hh,20000000000.0,79.0
1999,percentage (%),foreign school graduates,male,hh,20000000000.0,75.0
2000,percentage (%),foreign school graduates,male,hh,20000000000.0,77.4
2001,percentage (%),foreign school graduates,male,hh,20000000000.0,76.5
2002,percentage (%),foreign school graduates,male,hh,20000000000.0,79.6
2003,percentage (%),foreign school graduates,male,hh,20000000000.0,78.1
2004,percentage (%),foreign school graduates,male,hh,20000000000.0,76.7
2005,percentage (%),foreign school graduates,male,hh,20000000000.0,76.8
2006,percentage (%),foreign school graduates,male,hh,20000000000.0,77.9
2007,percentage (%),foreign school graduates,male,hh,20000000000.0,79.0
2008,percentage (%),foreign school graduates,male,hh,20000000000.0,82.2
2009,percentage (%),foreign school graduates,male,hh,20000000000.0,82.9
2010,percentage (%),foreign school graduates,male,hh,20000000000.0,84.7
2011,percentage (%),foreign school graduates,male,hh,20000000000.0,86.2
2012,percentage (%),foreign school graduates,male,hh,20000000000.0,87.4
2013,percentage (%),foreign school graduates,male,hh,20000000000.0,89.3
2014,percentage (%),foreign school graduates,male,hh,20000000000.0,88.0
2015,percentage (%),foreign school graduates,male,hh,20000000000.0,87.1
2016,percentage (%),foreign school graduates,male,hh,20000000000.0,84.7
2017,percentage (%),foreign school graduates,male,hh,20000000000.0,86.4
2018,percentage (%),foreign school graduates,male,hh,20000000000.0,83.1
2019,percentage (%),foreign school graduates,male,hh,20000000000.0,84.7
1996,percentage (%),foreign school graduates,,he,60000000000.0,79.0
1997,percentage (%),foreign school graduates,,he,60000000000.0,80.5
1998,percentage (%),foreign school graduates,,he,60000000000.0,82.0
1999,percentage (%),foreign school graduates,,he,60000000000.0,79.9
2000,percentage (%),foreign school graduates,,he,60000000000.0,78.5
2001,percentage (%),foreign school graduates,,he,60000000000.0,80.0
2002,percentage (%),foreign school graduates,,he,60000000000.0,80.9
2003,percentage (%),foreign school graduates,,he,60000000000.0,81.1
2004,percentage (%),foreign school graduates,,he,60000000000.0,81.8
2005,percentage (%),foreign school graduates,,he,60000000000.0,83.2
2006,percentage (%),foreign school graduates,,he,60000000000.0,83.9
2007,percentage (%),foreign school graduates,,he,60000000000.0,84.0
2008,percentage (%),foreign school graduates,,he,60000000000.0,87.1
2009,percentage (%),foreign school graduates,,he,60000000000.0,85.9
2010,percentage (%),foreign school graduates,,he,60000000000.0,87.0
2011,percentage (%),foreign school graduates,,he,60000000000.0,88.3
2012,percentage (%),foreign school graduates,,he,60000000000.0,89.0
2013,percentage (%),foreign school graduates,,he,60000000000.0,90.3
2014,percentage (%),foreign school graduates,,he,60000000000.0,90.7
2015,percentage (%),foreign school graduates,,he,60000000000.0,91.9
2016,percentage (%),foreign school graduates,,he,60000000000.0,89.8
2017,percentage (%),foreign school graduates,,he,60000000000.0,89.7
2018,percentage (%),foreign school graduates,,he,60000000000.0,89.7
2019,percentage (%),foreign school graduates,,he,60000000000.0,88.7
1996,percentage (%),foreign school graduates,female,he,60000000000.0,83.2
1997,percentage (%),foreign school graduates,female,he,60000000000.0,84.2
1998,percentage (%),foreign school graduates,female,he,60000000000.0,85.9
1999,percentage (%),foreign school graduates,female,he,60000000000.0,83.9
2000,percentage (%),foreign school graduates,female,he,60000000000.0,82.6
2001,percentage (%),foreign school graduates,female,he,60000000000.0,83.6
2002,percentage (%),foreign school graduates,female,he,60000000000.0,83.9
2003,percentage (%),foreign school graduates,female,he,60000000000.0,84.3
2004,percentage (%),foreign school graduates,female,he,60000000000.0,84.9
2005,percentage (%),foreign school graduates,female,he,60000000000.0,86.7
2006,percentage (%),foreign school graduates,female,he,60000000000.0,86.0
2007,percentage (%),foreign school graduates,female,he,60000000000.0,86.1
2008,percentage (%),foreign school graduates,female,he,60000000000.0,88.7
2009,percentage (%),foreign school graduates,female,he,60000000000.0,88.4
2010,percentage (%),foreign school graduates,female,he,60000000000.0,89.6
2011,percentage (%),foreign school graduates,female,he,60000000000.0,89.7
2012,percentage (%),foreign school graduates,female,he,60000000000.0,91.2
2013,percentage (%),foreign school graduates,female,he,60000000000.0,91.6
2014,percentage (%),foreign school graduates,female,he,60000000000.0,92.9
2015,percentage (%),foreign school graduates,female,he,60000000000.0,93.8
2016,percentage (%),foreign school graduates,female,he,60000000000.0,92.2
2017,percentage (%),foreign school graduates,female,he,60000000000.0,91.2
2018,percentage (%),foreign school graduates,female,he,60000000000.0,91.9
2019,percentage (%),foreign school graduates,female,he,60000000000.0,91.1
1996,percentage (%),foreign school graduates,male,he,60000000000.0,75.4
1997,percentage (%),foreign school graduates,male,he,60000000000.0,77.1
1998,percentage (%),foreign school graduates,male,he,60000000000.0,78.4
1999,percentage (%),foreign school graduates,male,he,60000000000.0,76.4
2000,percentage (%),foreign school graduates,male,he,60000000000.0,74.9
2001,percentage (%),foreign school graduates,male,he,60000000000.0,76.8
2002,percentage (%),foreign school graduates,male,he,60000000000.0,78.2
2003,percentage (%),foreign school graduates,male,he,60000000000.0,78.4
2004,percentage (%),foreign school graduates,male,he,60000000000.0,79.0
2005,percentage (%),foreign school graduates,male,he,60000000000.0,80.0
2006,percentage (%),foreign school graduates,male,he,60000000000.0,81.9
2007,percentage (%),foreign school graduates,male,he,60000000000.0,82.0
2008,percentage (%),foreign school graduates,male,he,60000000000.0,85.4
2009,percentage (%),foreign school graduates,male,he,60000000000.0,83.4
2010,percentage (%),foreign school graduates,male,he,60000000000.0,84.3
2011,percentage (%),foreign school graduates,male,he,60000000000.0,87.0
2012,percentage (%),foreign school graduates,male,he,60000000000.0,86.9
2013,percentage (%),foreign school graduates,male,he,60000000000.0,89.0
2014,percentage (%),foreign school graduates,male,he,60000000000.0,88.6
2015,percentage (%),foreign school graduates,male,he,60000000000.0,90.0
2016,percentage (%),foreign school graduates,male,he,60000000000.0,87.6
2017,percentage (%),foreign school graduates,male,he,60000000000.0,88.4
2018,percentage (%),foreign school graduates,male,he,60000000000.0,88.0
2019,percentage (%),foreign school graduates,male,he,60000000000.0,86.7
1996,percentage (%),foreign school graduates,,mv,130000000000.0,87.2
1997,percentage (%),foreign school graduates,,mv,130000000000.0,85.7
1998,percentage (%),foreign school graduates,,mv,130000000000.0,73.9
1999,percentage (%),foreign school graduates,,mv,130000000000.0,78.7
2000,percentage (%),foreign school graduates,,mv,130000000000.0,85.6
2001,percentage (%),foreign school graduates,,mv,130000000000.0,73.0
2002,percentage (%),foreign school graduates,,mv,130000000000.0,83.4
2003,percentage (%),foreign school graduates,,mv,130000000000.0,79.5
2004,percentage (%),foreign school graduates,,mv,130000000000.0,85.3
2005,percentage (%),foreign school graduates,,mv,130000000000.0,78.7
2006,percentage (%),foreign school graduates,,mv,130000000000.0,85.2
2007,percentage (%),foreign school graduates,,mv,130000000000.0,81.5
2008,percentage (%),foreign school graduates,,mv,130000000000.0,86.7
2009,percentage (%),foreign school graduates,,mv,130000000000.0,85.3
2010,percentage (%),foreign school graduates,,mv,130000000000.0,83.8
2011,percentage (%),foreign school graduates,,mv,130000000000.0,81.9
2012,percentage (%),foreign school graduates,,mv,130000000000.0,89.3
2013,percentage (%),foreign school graduates,,mv,130000000000.0,83.1
2014,percentage (%),foreign school graduates,,mv,130000000000.0,87.2
2015,percentage (%),foreign school graduates,,mv,130000000000.0,91.8
2016,percentage (%),foreign school graduates,,mv,130000000000.0,84.1
2017,percentage (%),foreign school graduates,,mv,130000000000.0,80.2
2018,percentage (%),foreign school graduates,,mv,130000000000.0,75.0
2019,percentage (%),foreign school graduates,,mv,130000000000.0,79.2
1996,percentage (%),foreign school graduates,female,mv,130000000000.0,100.0
1997,percentage (%),foreign school graduates,female,mv,130000000000.0,90.0
1998,percentage (%),foreign school graduates,female,mv,130000000000.0,73.7
1999,percentage (%),foreign school graduates,female,mv,130000000000.0,79.7
2000,percentage (%),foreign school graduates,female,mv,130000000000.0,91.5
2001,percentage (%),foreign school graduates,female,mv,130000000000.0,83.3
2002,percentage (%),foreign school graduates,female,mv,130000000000.0,94.6
2003,percentage (%),foreign school graduates,female,mv,130000000000.0,88.0
2004,percentage (%),foreign school graduates,female,mv,130000000000.0,91.5
2005,percentage (%),foreign school graduates,female,mv,130000000000.0,86.5
2006,percentage (%),foreign school graduates,female,mv,130000000000.0,88.6
2007,percentage (%),foreign school graduates,female,mv,130000000000.0,82.9
2008,percentage (%),foreign school graduates,female,mv,130000000000.0,92.1
2009,percentage (%),foreign school graduates,female,mv,130000000000.0,89.9
2010,percentage (%),foreign school graduates,female,mv,130000000000.0,88.2
2011,percentage (%),foreign school graduates,female,mv,130000000000.0,87.4
2012,percentage (%),foreign school graduates,female,mv,130000000000.0,90.4
2013,percentage (%),foreign school graduates,female,mv,130000000000.0,85.8
2014,percentage (%),foreign school graduates,female,mv,130000000000.0,89.8
2015,percentage (%),foreign school graduates,female,mv,130000000000.0,92.7
2016,percentage (%),foreign school graduates,female,mv,130000000000.0,90.3
2017,percentage (%),foreign school graduates,female,mv,130000000000.0,89.9
2018,percentage (%),foreign school graduates,female,mv,130000000000.0,84.7
2019,percentage (%),foreign school graduates,female,mv,130000000000.0,82.8
1996,percentage (%),foreign school graduates,male,mv,130000000000.0,75.0
1997,percentage (%),foreign school graduates,male,mv,130000000000.0,81.8
1998,percentage (%),foreign school graduates,male,mv,130000000000.0,74.1
1999,percentage (%),foreign school graduates,male,mv,130000000000.0,77.8
2000,percentage (%),foreign school graduates,male,mv,130000000000.0,76.6
2001,percentage (%),foreign school graduates,male,mv,130000000000.0,63.6
2002,percentage (%),foreign school graduates,male,mv,130000000000.0,71.8
2003,percentage (%),foreign school graduates,male,mv,130000000000.0,70.4
2004,percentage (%),foreign school graduates,male,mv,130000000000.0,77.7
2005,percentage (%),foreign school graduates,male,mv,130000000000.0,71.4
2006,percentage (%),foreign school graduates,male,mv,130000000000.0,82.7
2007,percentage (%),foreign school graduates,male,mv,130000000000.0,80.0
2008,percentage (%),foreign school graduates,male,mv,130000000000.0,80.8
2009,percentage (%),foreign school graduates,male,mv,130000000000.0,80.4
2010,percentage (%),foreign school graduates,male,mv,130000000000.0,79.6
2011,percentage (%),foreign school graduates,male,mv,130000000000.0,76.7
2012,percentage (%),foreign school graduates,male,mv,130000000000.0,88.3
2013,percentage (%),foreign school graduates,male,mv,130000000000.0,80.2
2014,percentage (%),foreign school graduates,male,mv,130000000000.0,84.6
2015,percentage (%),foreign school graduates,male,mv,130000000000.0,90.8
2016,percentage (%),foreign school graduates,male,mv,130000000000.0,78.7
2017,percentage (%),foreign school graduates,male,mv,130000000000.0,73.3
2018,percentage (%),foreign school graduates,male,mv,130000000000.0,69.7
2019,percentage (%),foreign school graduates,male,mv,130000000000.0,76.8
1996,percentage (%),foreign school graduates,,ni,30000000000.0,72.7
1997,percentage (%),foreign school graduates,,ni,30000000000.0,72.7
1998,percentage (%),foreign school graduates,,ni,30000000000.0,74.8
1999,percentage (%),foreign school graduates,,ni,30000000000.0,74.1
2000,percentage (%),foreign school graduates,,ni,30000000000.0,72.4
2001,percentage (%),foreign school graduates,,ni,30000000000.0,72.6
2002,percentage (%),foreign school graduates,,ni,30000000000.0,73.4
2003,percentage (%),foreign school graduates,,ni,30000000000.0,71.5
2004,percentage (%),foreign school graduates,,ni,30000000000.0,77.6
2005,percentage (%),foreign school graduates,,ni,30000000000.0,75.0
2006,percentage (%),foreign school graduates,,ni,30000000000.0,75.1
2007,percentage (%),foreign school graduates,,ni,30000000000.0,79.9
2008,percentage (%),foreign school graduates,,ni,30000000000.0,80.0
2009,percentage (%),foreign school graduates,,ni,30000000000.0,82.7
2010,percentage (%),foreign school graduates,,ni,30000000000.0,83.8
2011,percentage (%),foreign school graduates,,ni,30000000000.0,84.3
2012,percentage (%),foreign school graduates,,ni,30000000000.0,86.4
2013,percentage (%),foreign school graduates,,ni,30000000000.0,86.3
2014,percentage (%),foreign school graduates,,ni,30000000000.0,87.8
2015,percentage (%),foreign school graduates,,ni,30000000000.0,85.6
2016,percentage (%),foreign school graduates,,ni,30000000000.0,83.7
2017,percentage (%),foreign school graduates,,ni,30000000000.0,77.1
2018,percentage (%),foreign school graduates,,ni,30000000000.0,77.1
2019,percentage (%),foreign school graduates,,ni,30000000000.0,76.9
1996,percentage (%),foreign school graduates,female,ni,30000000000.0,77.4
1997,percentage (%),foreign school graduates,female,ni,30000000000.0,77.4
1998,percentage (%),foreign school graduates,female,ni,30000000000.0,80.1
1999,percentage (%),foreign school graduates,female,ni,30000000000.0,79.9
2000,percentage (%),foreign school graduates,female,ni,30000000000.0,78.3
2001,percentage (%),foreign school graduates,female,ni,30000000000.0,78.5
2002,percentage (%),foreign school graduates,female,ni,30000000000.0,79.4
2003,percentage (%),foreign school graduates,female,ni,30000000000.0,77.1
2004,percentage (%),foreign school graduates,female,ni,30000000000.0,82.6
2005,percentage (%),foreign school graduates,female,ni,30000000000.0,80.5
2006,percentage (%),foreign school graduates,female,ni,30000000000.0,80.3
2007,percentage (%),foreign school graduates,female,ni,30000000000.0,84.1
2008,percentage (%),foreign school graduates,female,ni,30000000000.0,84.0
2009,percentage (%),foreign school graduates,female,ni,30000000000.0,86.2
2010,percentage (%),foreign school graduates,female,ni,30000000000.0,87.1
2011,percentage (%),foreign school graduates,female,ni,30000000000.0,87.8
2012,percentage (%),foreign school graduates,female,ni,30000000000.0,89.0
2013,percentage (%),foreign school graduates,female,ni,30000000000.0,87.7
2014,percentage (%),foreign school graduates,female,ni,30000000000.0,88.6
2015,percentage (%),foreign school graduates,female,ni,30000000000.0,86.5
2016,percentage (%),foreign school graduates,female,ni,30000000000.0,85.8
2017,percentage (%),foreign school graduates,female,ni,30000000000.0,82.0
2018,percentage (%),foreign school graduates,female,ni,30000000000.0,80.6
2019,percentage (%),foreign school graduates,female,ni,30000000000.0,80.5
1996,percentage (%),foreign school graduates,male,ni,30000000000.0,68.6
1997,percentage (%),foreign school graduates,male,ni,30000000000.0,68.6
1998,percentage (%),foreign school graduates,male,ni,30000000000.0,70.6
1999,percentage (%),foreign school graduates,male,ni,30000000000.0,68.9
2000,percentage (%),foreign school graduates,male,ni,30000000000.0,67.2
2001,percentage (%),foreign school graduates,male,ni,30000000000.0,67.4
2002,percentage (%),foreign school graduates,male,ni,30000000000.0,68.0
2003,percentage (%),foreign school graduates,male,ni,30000000000.0,67.1
2004,percentage (%),foreign school graduates,male,ni,30000000000.0,73.5
2005,percentage (%),foreign school graduates,male,ni,30000000000.0,70.4
2006,percentage (%),foreign school graduates,male,ni,30000000000.0,70.4
2007,percentage (%),foreign school graduates,male,ni,30000000000.0,75.9
2008,percentage (%),foreign school graduates,male,ni,30000000000.0,76.2
2009,percentage (%),foreign school graduates,male,ni,30000000000.0,79.4
2010,percentage (%),foreign school graduates,male,ni,30000000000.0,80.7
2011,percentage (%),foreign school graduates,male,ni,30000000000.0,81.0
2012,percentage (%),foreign school graduates,male,ni,30000000000.0,83.9
2013,percentage (%),foreign school graduates,male,ni,30000000000.0,85.0
2014,percentage (%),foreign school graduates,male,ni,30000000000.0,87.0
2015,percentage (%),foreign school graduates,male,ni,30000000000.0,84.7
2016,percentage (%),foreign school graduates,male,ni,30000000000.0,81.8
2017,percentage (%),foreign school graduates,male,ni,30000000000.0,73.2
2018,percentage (%),foreign school graduates,male,ni,30000000000.0,74.5
2019,percentage (%),foreign school graduates,male,ni,30000000000.0,73.9
1996,percentage (%),foreign school graduates,,nw,50000000000.0,87.3
1997,percentage (%),foreign school graduates,,nw,50000000000.0,87.0
1998,percentage (%),foreign school graduates,,nw,50000000000.0,87.2
1999,percentage (%),foreign school graduates,,nw,50000000000.0,87.7
2000,percentage (%),foreign school graduates,,nw,50000000000.0,86.9
2001,percentage (%),foreign school graduates,,nw,50000000000.0,86.4
2002,percentage (%),foreign school graduates,,nw,50000000000.0,85.6
2003,percentage (%),foreign school graduates,,nw,50000000000.0,86.3
2004,percentage (%),foreign school graduates,,nw,50000000000.0,86.1
2005,percentage (%),foreign school graduates,,nw,50000000000.0,85.9
2006,percentage (%),foreign school graduates,,nw,50000000000.0,86.2
2007,percentage (%),foreign school graduates,,nw,50000000000.0,85.8
2008,percentage (%),foreign school graduates,,nw,50000000000.0,85.9
2009,percentage (%),foreign school graduates,,nw,50000000000.0,86.9
2010,percentage (%),foreign school graduates,,nw,50000000000.0,87.7
2011,percentage (%),foreign school graduates,,nw,50000000000.0,88.7
2012,percentage (%),foreign school graduates,,nw,50000000000.0,89.0
2013,percentage (%),foreign school graduates,,nw,50000000000.0,89.8
2014,percentage (%),foreign school graduates,,nw,50000000000.0,88.5
2015,percentage (%),foreign school graduates,,nw,50000000000.0,88.9
2016,percentage (%),foreign school graduates,,nw,50000000000.0,88.4
2017,percentage (%),foreign school graduates,,nw,50000000000.0,84.6
2018,percentage (%),foreign school graduates,,nw,50000000000.0,84.0
2019,percentage (%),foreign school graduates,,nw,50000000000.0,84.1
1996,percentage (%),foreign school graduates,female,nw,50000000000.0,90.2
1997,percentage (%),foreign school graduates,female,nw,50000000000.0,90.2
1998,percentage (%),foreign school graduates,female,nw,50000000000.0,90.4
1999,percentage (%),foreign school graduates,female,nw,50000000000.0,90.4
2000,percentage (%),foreign school graduates,female,nw,50000000000.0,89.7
2001,percentage (%),foreign school graduates,female,nw,50000000000.0,89.5
2002,percentage (%),foreign school graduates,female,nw,50000000000.0,88.6
2003,percentage (%),foreign school graduates,female,nw,50000000000.0,89.0
2004,percentage (%),foreign school graduates,female,nw,50000000000.0,89.2
2005,percentage (%),foreign school graduates,female,nw,50000000000.0,89.1
2006,percentage (%),foreign school graduates,female,nw,50000000000.0,88.8
2007,percentage (%),foreign school graduates,female,nw,50000000000.0,88.5
2008,percentage (%),foreign school graduates,female,nw,50000000000.0,88.6
2009,percentage (%),foreign school graduates,female,nw,50000000000.0,88.7
2010,percentage (%),foreign school graduates,female,nw,50000000000.0,89.6
2011,percentage (%),foreign school graduates,female,nw,50000000000.0,90.5
2012,percentage (%),foreign school graduates,female,nw,50000000000.0,90.6
2013,percentage (%),foreign school graduates,female,nw,50000000000.0,91.5
2014,percentage (%),foreign school graduates,female,nw,50000000000.0,90.3
2015,percentage (%),foreign school graduates,female,nw,50000000000.0,90.4
2016,percentage (%),foreign school graduates,female,nw,50000000000.0,90.3
2017,percentage (%),foreign school graduates,female,nw,50000000000.0,87.8
2018,percentage (%),foreign school graduates,female,nw,50000000000.0,86.7
2019,percentage (%),foreign school graduates,female,nw,50000000000.0,86.5
1996,percentage (%),foreign school graduates,male,nw,50000000000.0,84.7
1997,percentage (%),foreign school graduates,male,nw,50000000000.0,84.1
1998,percentage (%),foreign school graduates,male,nw,50000000000.0,84.3
1999,percentage (%),foreign school graduates,male,nw,50000000000.0,85.2
2000,percentage (%),foreign school graduates,male,nw,50000000000.0,84.1
2001,percentage (%),foreign school graduates,male,nw,50000000000.0,83.5
2002,percentage (%),foreign school graduates,male,nw,50000000000.0,82.6
2003,percentage (%),foreign school graduates,male,nw,50000000000.0,83.7
2004,percentage (%),foreign school graduates,male,nw,50000000000.0,83.1
2005,percentage (%),foreign school graduates,male,nw,50000000000.0,83.1
2006,percentage (%),foreign school graduates,male,nw,50000000000.0,83.8
2007,percentage (%),foreign school graduates,male,nw,50000000000.0,83.1
2008,percentage (%),foreign school graduates,male,nw,50000000000.0,83.4
2009,percentage (%),foreign school graduates,male,nw,50000000000.0,85.1
2010,percentage (%),foreign school graduates,male,nw,50000000000.0,85.9
2011,percentage (%),foreign school graduates,male,nw,50000000000.0,86.9
2012,percentage (%),foreign school graduates,male,nw,50000000000.0,87.4
2013,percentage (%),foreign school graduates,male,nw,50000000000.0,88.1
2014,percentage (%),foreign school graduates,male,nw,50000000000.0,86.7
2015,percentage (%),foreign school graduates,male,nw,50000000000.0,87.4
2016,percentage (%),foreign school graduates,male,nw,50000000000.0,86.6
2017,percentage (%),foreign school graduates,male,nw,50000000000.0,81.7
2018,percentage (%),foreign school graduates,male,nw,50000000000.0,81.7
2019,percentage (%),foreign school graduates,male,nw,50000000000.0,82.0
1996,percentage (%),foreign school graduates,,rp,70000000000.0,78.3
1997,percentage (%),foreign school graduates,,rp,70000000000.0,77.2
1998,percentage (%),foreign school graduates,,rp,70000000000.0,74.8
1999,percentage (%),foreign school graduates,,rp,70000000000.0,73.0
2000,percentage (%),foreign school graduates,,rp,70000000000.0,74.8
2001,percentage (%),foreign school graduates,,rp,70000000000.0,76.8
2002,percentage (%),foreign school graduates,,rp,70000000000.0,78.1
2003,percentage (%),foreign school graduates,,rp,70000000000.0,74.6
2004,percentage (%),foreign school graduates,,rp,70000000000.0,78.5
2005,percentage (%),foreign school graduates,,rp,70000000000.0,85.0
2006,percentage (%),foreign school graduates,,rp,70000000000.0,83.2
2007,percentage (%),foreign school graduates,,rp,70000000000.0,84.9
2008,percentage (%),foreign school graduates,,rp,70000000000.0,84.1
2009,percentage (%),foreign school graduates,,rp,70000000000.0,86.4
2010,percentage (%),foreign school graduates,,rp,70000000000.0,88.2
2011,percentage (%),foreign school graduates,,rp,70000000000.0,89.2
2012,percentage (%),foreign school graduates,,rp,70000000000.0,90.0
2013,percentage (%),foreign school graduates,,rp,70000000000.0,89.7
2014,percentage (%),foreign school graduates,,rp,70000000000.0,89.0
2015,percentage (%),foreign school graduates,,rp,70000000000.0,88.1
2016,percentage (%),foreign school graduates,,rp,70000000000.0,86.0
2017,percentage (%),foreign school graduates,,rp,70000000000.0,82.4
2018,percentage (%),foreign school graduates,,rp,70000000000.0,82.1
2019,percentage (%),foreign school graduates,,rp,70000000000.0,82.2
1996,percentage (%),foreign school graduates,female,rp,70000000000.0,84.8
1997,percentage (%),foreign school graduates,female,rp,70000000000.0,81.9
1998,percentage (%),foreign school graduates,female,rp,70000000000.0,81.2
1999,percentage (%),foreign school graduates,female,rp,70000000000.0,79.7
2000,percentage (%),foreign school graduates,female,rp,70000000000.0,81.1
2001,percentage (%),foreign school graduates,female,rp,70000000000.0,81.8
2002,percentage (%),foreign school graduates,female,rp,70000000000.0,82.9
2003,percentage (%),foreign school graduates,female,rp,70000000000.0,76.0
2004,percentage (%),foreign school graduates,female,rp,70000000000.0,83.2
2005,percentage (%),foreign school graduates,female,rp,70000000000.0,87.3
2006,percentage (%),foreign school graduates,female,rp,70000000000.0,88.1
2007,percentage (%),foreign school graduates,female,rp,70000000000.0,88.8
2008,percentage (%),foreign school graduates,female,rp,70000000000.0,87.2
2009,percentage (%),foreign school graduates,female,rp,70000000000.0,89.8
2010,percentage (%),foreign school graduates,female,rp,70000000000.0,90.6
2011,percentage (%),foreign school graduates,female,rp,70000000000.0,91.3
2012,percentage (%),foreign school graduates,female,rp,70000000000.0,92.0
2013,percentage (%),foreign school graduates,female,rp,70000000000.0,92.2
2014,percentage (%),foreign school graduates,female,rp,70000000000.0,90.5
2015,percentage (%),foreign school graduates,female,rp,70000000000.0,90.5
2016,percentage (%),foreign school graduates,female,rp,70000000000.0,90.3
2017,percentage (%),foreign school graduates,female,rp,70000000000.0,86.9
2018,percentage (%),foreign school graduates,female,rp,70000000000.0,87.2
2019,percentage (%),foreign school graduates,female,rp,70000000000.0,86.6
1996,percentage (%),foreign school graduates,male,rp,70000000000.0,73.1
1997,percentage (%),foreign school graduates,male,rp,70000000000.0,72.9
1998,percentage (%),foreign school graduates,male,rp,70000000000.0,69.5
1999,percentage (%),foreign school graduates,male,rp,70000000000.0,67.5
2000,percentage (%),foreign school graduates,male,rp,70000000000.0,69.4
2001,percentage (%),foreign school graduates,male,rp,70000000000.0,72.6
2002,percentage (%),foreign school graduates,male,rp,70000000000.0,73.6
2003,percentage (%),foreign school graduates,male,rp,70000000000.0,72.9
2004,percentage (%),foreign school graduates,male,rp,70000000000.0,74.0
2005,percentage (%),foreign school graduates,male,rp,70000000000.0,82.8
2006,percentage (%),foreign school graduates,male,rp,70000000000.0,78.8
2007,percentage (%),foreign school graduates,male,rp,70000000000.0,81.1
2008,percentage (%),foreign school graduates,male,rp,70000000000.0,81.2
2009,percentage (%),foreign school graduates,male,rp,70000000000.0,83.3
2010,percentage (%),foreign school graduates,male,rp,70000000000.0,85.9
2011,percentage (%),foreign school graduates,male,rp,70000000000.0,87.2
2012,percentage (%),foreign school graduates,male,rp,70000000000.0,88.1
2013,percentage (%),foreign school graduates,male,rp,70000000000.0,87.3
2014,percentage (%),foreign school graduates,male,rp,70000000000.0,87.6
2015,percentage (%),foreign school graduates,male,rp,70000000000.0,86.1
2016,percentage (%),foreign school graduates,male,rp,70000000000.0,82.2
2017,percentage (%),foreign school graduates,male,rp,70000000000.0,78.7
2018,percentage (%),foreign school graduates,male,rp,70000000000.0,78.3
2019,percentage (%),foreign school graduates,male,rp,70000000000.0,78.5
1996,percentage (%),foreign school graduates,,sl,100000000000.0,76.6
