Year,Units,display,sex,age,Bundesland,GeoCode,Value
2010,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,75.1
2011,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,76.8
2012,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,76.7
2013,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,77.2
2014,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,78.3
2015,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,78.8
2016,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,78.9
2017,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,79.8
2018,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,79.9
2019,percentage (%),a) time series,male and female,20 - 64 years,hh,Hamburg,80.7
2000,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2001,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2002,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2003,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2004,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2005,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2006,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2007,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2008,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2009,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2010,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2011,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2012,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2013,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,63.4
2014,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,74.1
2015,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,75.4
2016,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,75.3
2017,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,75.8
2018,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,76.3
2019,percentage (%),a) time series,female,20 - 64 years,hh,Hamburg,77.6
2000,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,75.5
2001,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,76.2
2002,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,72.7
2003,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,72.3
2004,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,73.0
2005,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,75.9
2006,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,76.2
2007,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,78.8
2008,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,79.3
2009,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,79.1
2010,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,79.5
2011,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,81.1
2012,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,81.0
2013,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,80.8
2014,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,82.5
2015,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,82.3
2016,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,82.4
2017,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,83.8
2018,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,83.6
2019,percentage (%),a) time series,male,20 - 64 years,hh,Hamburg,83.8
2000,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,70.3
2001,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,71.3
2002,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,70.8
2003,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,70.4
2004,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,70.0
2005,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,70.8
2006,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,72.3
2007,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,73.5
2008,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,74.5
2009,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,75.0
2010,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,75.5
2011,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,77.1
2012,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,77.2
2013,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,77.7
2014,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,77.4
2015,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,77.8
2016,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,78.5
2017,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,79.2
2018,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,79.4
2019,percentage (%),a) time series,male and female,20 - 64 years,he,Hessen,80.2
2000,percentage (%),a) time series,female,20 - 64 years,he,Hessen,61.9
2001,percentage (%),a) time series,female,20 - 64 years,he,Hessen,63.6
2002,percentage (%),a) time series,female,20 - 64 years,he,Hessen,63.8
2003,percentage (%),a) time series,female,20 - 64 years,he,Hessen,63.4
2004,percentage (%),a) time series,female,20 - 64 years,he,Hessen,63.0
2005,percentage (%),a) time series,female,20 - 64 years,he,Hessen,63.5
2006,percentage (%),a) time series,female,20 - 64 years,he,Hessen,65.2
2007,percentage (%),a) time series,female,20 - 64 years,he,Hessen,66.5
2008,percentage (%),a) time series,female,20 - 64 years,he,Hessen,67.9
2009,percentage (%),a) time series,female,20 - 64 years,he,Hessen,68.9
2010,percentage (%),a) time series,female,20 - 64 years,he,Hessen,69.4
2011,percentage (%),a) time series,female,20 - 64 years,he,Hessen,71.1
2012,percentage (%),a) time series,female,20 - 64 years,he,Hessen,71.5
2013,percentage (%),a) time series,female,20 - 64 years,he,Hessen,72.7
2014,percentage (%),a) time series,female,20 - 64 years,he,Hessen,72.2
2015,percentage (%),a) time series,female,20 - 64 years,he,Hessen,73.0
2016,percentage (%),a) time series,female,20 - 64 years,he,Hessen,73.4
2017,percentage (%),a) time series,female,20 - 64 years,he,Hessen,74.7
2018,percentage (%),a) time series,female,20 - 64 years,he,Hessen,74.7
2019,percentage (%),a) time series,female,20 - 64 years,he,Hessen,75.3
2000,percentage (%),a) time series,male,20 - 64 years,he,Hessen,78.6
2001,percentage (%),a) time series,male,20 - 64 years,he,Hessen,78.8
2002,percentage (%),a) time series,male,20 - 64 years,he,Hessen,77.8
2003,percentage (%),a) time series,male,20 - 64 years,he,Hessen,77.2
2004,percentage (%),a) time series,male,20 - 64 years,he,Hessen,77.1
2005,percentage (%),a) time series,male,20 - 64 years,he,Hessen,78.1
2006,percentage (%),a) time series,male,20 - 64 years,he,Hessen,79.4
2007,percentage (%),a) time series,male,20 - 64 years,he,Hessen,80.4
2008,percentage (%),a) time series,male,20 - 64 years,he,Hessen,81.1
2009,percentage (%),a) time series,male,20 - 64 years,he,Hessen,81.1
2010,percentage (%),a) time series,male,20 - 64 years,he,Hessen,81.8
2011,percentage (%),a) time series,male,20 - 64 years,he,Hessen,83.2
2012,percentage (%),a) time series,male,20 - 64 years,he,Hessen,82.9
2013,percentage (%),a) time series,male,20 - 64 years,he,Hessen,82.8
2014,percentage (%),a) time series,male,20 - 64 years,he,Hessen,82.5
2015,percentage (%),a) time series,male,20 - 64 years,he,Hessen,82.7
2016,percentage (%),a) time series,male,20 - 64 years,he,Hessen,83.5
2017,percentage (%),a) time series,male,20 - 64 years,he,Hessen,83.7
2018,percentage (%),a) time series,male,20 - 64 years,he,Hessen,83.9
2019,percentage (%),a) time series,male,20 - 64 years,he,Hessen,85.0
2000,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,64.5
2001,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,62.4
2002,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,61.5
2003,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,61.8
2004,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,61.3
2005,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,64.3
2006,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,66.9
2007,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,68.4
2008,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,70.3
2009,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,71.4
2010,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,72.8
2011,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,73.5
2012,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,72.8
2013,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,73.1
2014,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,73.9
2015,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,75.0
2016,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,75.6
2017,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,76.5
2018,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,76.7
2019,percentage (%),a) time series,male and female,20 - 64 years,mv,Mecklenburg-Vorpommern,78.3
2000,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,59.2
2001,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,59.0
2002,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,58.4
2003,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,59.2
2004,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,58.4
2005,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,62.3
2006,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,64.5
2007,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,65.4
2008,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,67.7
2009,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,69.4
2010,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,71.1
2011,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,70.7
2012,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,70.3
2013,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,71.1
2014,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,72.1
2015,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,72.9
2016,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,74.2
2017,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,75.1
2018,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,75.5
2019,percentage (%),a) time series,female,20 - 64 years,mv,Mecklenburg-Vorpommern,76.6
2000,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,69.6
2001,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,65.7
2002,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,64.6
2003,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,64.2
2004,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,64.1
2005,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,66.3
2006,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,69.2
2007,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,71.3
2008,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,72.7
2009,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,73.2
2010,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,74.5
2011,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,76.1
2012,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,75.2
2013,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,75.0
2014,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,75.7
2015,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,77.1
2016,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,76.8
2017,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,77.8
2018,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,77.8
2019,percentage (%),a) time series,male,20 - 64 years,mv,Mecklenburg-Vorpommern,79.9
2000,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,68.0
2001,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,68.5
2002,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,68.1
2003,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,67.9
2004,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,67.0
2005,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,68.7
2006,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,70.2
2007,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,72.4
2008,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,73.0
2009,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,74.0
2010,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,75.0
2011,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,76.6
2012,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,77.1
2013,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,77.6
2014,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,77.9
2015,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,77.9
2016,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,77.8
2017,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,78.7
2018,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,79.5
2019,percentage (%),a) time series,male and female,20 - 64 years,ni,Niedersachsen,80.2
2000,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,59.2
2001,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,60.4
2002,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,60.0
2003,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,60.7
2004,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,59.9
2005,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,61.5
2006,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,63.1
2007,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,65.2
2008,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,66.4
2009,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,67.6
2010,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,69.3
2011,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,71.0
2012,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,71.7
2013,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,72.7
2014,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,73.0
2015,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,73.2
2016,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,73.3
2017,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,74.4
2018,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,75.4
2019,percentage (%),a) time series,female,20 - 64 years,ni,Niedersachsen,75.9
2000,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,76.6
2001,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,76.3
2002,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,76.1
2003,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,74.9
2004,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,73.9
2005,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,75.8
2006,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,77.3
2007,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,79.6
2008,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,79.6
2009,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,80.3
2010,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,80.7
2011,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,82.1
2012,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,82.5
2013,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,82.6
2014,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,82.8
2015,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,82.6
2016,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,82.1
2017,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,82.8
2018,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,83.4
2019,percentage (%),a) time series,male,20 - 64 years,ni,Niedersachsen,84.3
2000,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,66.2
2001,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,67.1
2002,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,66.9
2003,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,66.1
2004,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,65.8
2005,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,67.7
2006,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,69.4
2007,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,71.0
2008,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,71.9
2009,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,71.8
2010,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,72.3
2011,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,73.9
2012,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,74.2
2013,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,74.3
2014,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,75.0
2015,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,75.1
2016,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,75.8
2017,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,76.3
2018,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,77.1
2019,percentage (%),a) time series,male and female,20 - 64 years,nw,Nordrhein-Westfalen,77.9
2000,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,56.3
2001,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,57.6
2002,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,58.0
2003,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,58.2
2004,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,58.1
2005,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,60.3
2006,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,62.2
2007,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,63.6
2008,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,64.3
2009,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,65.1
2010,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,65.7
2011,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,67.6
2012,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,67.8
2013,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,68.5
2014,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,69.4
2015,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,69.9
2016,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,70.9
2017,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,71.7
2018,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,72.4
2019,percentage (%),a) time series,female,20 - 64 years,nw,Nordrhein-Westfalen,73.1
2000,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,76.2
2001,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,76.6
2002,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,75.7
2003,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,74.0
2004,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,73.5
2005,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,75.1
2006,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,76.7
2007,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,78.4
2008,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,79.5
2009,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,78.5
2010,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,78.9
2011,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,80.3
2012,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,80.7
2013,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,80.2
2014,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,80.6
2015,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,80.4
2016,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,80.7
2017,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,80.9
2018,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,81.8
2019,percentage (%),a) time series,male,20 - 64 years,nw,Nordrhein-Westfalen,82.6
2000,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,69.2
2001,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,69.6
2002,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,70.1
2003,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,70.2
2004,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,68.8
2005,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,70.7
2006,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,72.7
2007,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,75.1
2008,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,75.7
2009,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,75.3
2010,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,76.0
2011,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,76.6
2012,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,77.2
2013,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,77.8
2014,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,78.1
2015,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,78.3
2016,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,78.5
2017,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,78.7
2018,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,79.5
2019,percentage (%),a) time series,male and female,20 - 64 years,rp,Rheinland-Pfalz,80.3
2000,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,59.9
2001,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,60.0
2002,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,61.6
2003,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,61.9
2004,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,60.4
2005,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,62.9
2006,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,65.5
2007,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,68.0
2008,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,68.4
2009,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,68.8
2010,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,69.7
2011,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,70.4
2012,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,71.0
2013,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,71.9
2014,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,72.8
2015,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,73.2
2016,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,74.2
2017,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,74.3
2018,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,74.9
2019,percentage (%),a) time series,female,20 - 64 years,rp,Rheinland-Pfalz,75.5
2000,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,78.2
2001,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,78.9
2002,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,78.3
2003,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,78.4
2004,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,77.2
2005,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,78.5
2006,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,79.8
